time,env_t,obj_t
00:07:04,21.65,-0.65
00:07:05,21.65,-0.49
00:07:06,21.65,-0.49
00:07:07,21.67,-0.57
00:07:08,21.71,-0.57
00:07:09,21.71,-0.61
00:07:10,21.63,-0.85
00:07:11,21.67,-0.81
00:07:12,21.71,-0.65
00:07:13,21.63,-0.69
00:07:14,21.67,-0.65
00:07:15,21.67,-0.49
00:07:16,21.65,-0.49
00:07:18,21.65,-0.45
00:07:19,21.65,-0.45
00:07:20,21.67,-0.49
00:07:21,21.65,-0.57
00:07:22,21.71,-0.77
00:07:23,21.65,-0.85
00:07:24,21.67,-0.89
00:07:25,21.65,-0.81
00:07:26,21.67,-0.69
00:07:27,21.67,-0.65
00:07:28,21.71,-0.77
00:07:29,21.65,-0.81
00:07:30,21.65,-0.77
00:07:31,21.71,-0.61
00:07:32,21.63,-0.65
00:07:33,21.67,-0.61
00:07:34,21.65,-0.53
00:07:35,21.71,-0.45
00:07:36,21.67,-0.49
00:07:37,21.73,-0.49
00:07:38,21.67,-0.57
00:07:39,21.71,-0.57
00:07:40,21.65,-0.61
00:07:41,21.73,-0.57
00:07:42,21.65,-0.61
00:07:43,21.67,-0.77
00:07:44,21.71,-0.69
00:07:45,21.71,-0.77
00:07:47,21.67,-0.77
00:07:48,21.65,-0.81
00:07:49,21.67,-0.85
00:07:50,21.67,-0.81
00:07:51,21.67,-0.85
00:07:52,21.67,-0.81
00:07:53,21.67,-0.73
00:07:54,21.65,-0.77
00:07:55,21.67,-0.77
00:07:56,21.71,-0.89
00:07:57,21.71,-0.85
00:07:58,21.67,-0.85
00:07:59,21.71,-0.85
00:08:00,21.65,-0.89
00:08:01,21.65,-0.81
00:08:02,21.71,-0.85
00:08:03,21.65,-0.89
00:08:04,21.67,-0.85
00:08:05,21.67,-0.85
00:08:06,21.67,-0.85
00:08:07,21.71,-0.85
00:08:08,21.71,-0.77
00:08:09,21.67,-0.81
00:08:10,21.71,-0.73
00:08:11,21.65,-0.69
00:08:12,21.71,-0.57
00:08:13,21.65,-0.65
00:08:14,21.67,-0.65
00:08:16,21.71,-0.65
00:08:17,21.67,-0.61
00:08:18,21.67,-0.69
00:08:19,21.67,-0.69
00:08:20,21.71,-0.53
00:08:21,21.67,-0.57
00:08:22,21.71,-0.61
00:08:23,21.71,-0.57
00:08:24,21.73,-0.81
00:08:25,21.71,-0.81
00:08:26,21.73,-0.81
00:08:27,21.67,-0.85
00:08:28,21.67,-0.85
00:08:29,21.71,-0.81
00:08:30,21.73,-0.61
00:08:31,21.67,-0.61
00:08:32,21.67,-0.61
00:08:33,21.67,-0.85
00:08:34,21.73,-0.81
00:08:35,21.71,-0.81
00:08:36,21.63,-0.73
00:08:37,21.73,-0.73
00:08:38,21.71,-0.77
00:08:39,21.67,-0.81
00:08:40,21.67,-0.89
00:08:41,21.71,-0.93
00:08:42,21.67,-0.97
00:08:43,21.71,-0.93
00:08:44,21.71,-0.69
00:08:46,21.67,-0.65
00:08:47,21.71,-0.65
00:08:48,21.67,-0.77
00:08:49,21.71,-0.69
00:08:50,21.71,-0.65
00:08:51,21.71,-0.57
00:08:52,21.71,-0.65
00:08:53,21.71,-0.69
00:08:54,21.71,-0.81
00:08:55,21.67,-0.69
00:08:56,21.73,-0.73
00:08:57,21.71,-0.81
00:08:58,21.71,-0.93
00:08:59,21.65,-0.85
00:09:00,21.71,-0.81
00:09:01,21.65,-0.81
00:09:02,21.67,-0.77
00:09:03,21.71,-0.65
00:09:04,21.71,-0.61
00:09:05,21.67,-0.61
00:09:06,21.65,-0.61
00:09:07,21.67,-0.53
00:09:08,21.71,-0.57
00:09:09,21.71,-0.69
00:09:10,21.71,-0.61
00:09:11,21.67,-0.61
00:09:12,21.71,-0.57
00:09:13,21.71,-0.53
00:09:15,21.67,-0.65
00:09:16,21.71,-0.73
00:09:17,21.71,-0.77
00:09:18,21.71,-0.77
00:09:19,21.75,-0.77
00:09:20,21.73,-0.89
00:09:21,21.73,-0.77
00:09:22,21.71,-0.97
00:09:23,21.67,-1.13
00:09:24,21.71,-1.01
00:09:25,21.71,-0.93
00:09:26,21.73,-0.97
00:09:27,21.67,-0.89
00:09:28,21.67,-0.89
00:09:29,21.67,-0.89
00:09:30,21.67,-0.93
00:09:31,21.67,-0.85
00:09:32,21.73,-0.77
00:09:33,21.67,-0.81
00:09:34,21.73,-0.81
00:09:35,21.67,-0.93
00:09:36,21.67,-0.97
00:09:37,21.63,-1.05
00:09:38,21.65,-0.93
00:09:39,21.71,-0.81
00:09:40,21.67,-0.85
00:09:41,21.63,-0.89
00:09:42,21.71,-0.97
00:09:44,21.65,-0.81
00:09:45,21.65,-0.89
00:09:46,21.67,-1.01
00:09:47,21.67,-1.05
00:09:48,21.71,-1.05
00:09:49,21.65,-0.97
00:09:50,21.67,-0.89
00:09:51,21.67,-1.01
00:09:52,21.73,-0.89
00:09:53,21.67,-0.97
00:09:54,21.67,-0.93
00:09:55,21.71,-0.77
00:09:56,21.67,-0.73
00:09:57,21.67,-0.77
00:09:58,21.65,-0.77
00:09:59,21.67,-0.57
00:10:00,21.67,-0.73
00:10:01,21.67,-0.89
00:10:02,21.67,-0.77
00:10:03,21.71,-0.65
00:10:04,21.67,-0.77
00:10:05,21.65,-0.73
00:10:06,21.67,-0.77
00:10:07,21.67,-0.69
00:10:08,21.65,-0.81
00:10:09,21.73,-0.73
00:10:10,21.71,-0.69
00:10:11,21.71,-0.85
00:10:13,21.67,-0.97
00:10:14,21.67,-0.93
00:10:15,21.67,-1.01
00:10:16,21.67,-0.89
00:10:17,21.67,-0.97
00:10:18,21.65,-1.17
00:10:19,21.67,-1.05
00:10:20,21.67,-0.93
00:10:21,21.61,-0.93
00:10:22,21.67,-0.77
00:10:23,21.65,-0.77
00:10:24,21.67,-0.89
00:10:25,21.71,-0.85
00:10:26,21.67,-0.89
00:10:27,21.67,-0.85
00:10:28,21.71,-0.73
00:10:29,21.73,-0.61
00:10:30,21.67,-0.69
00:10:31,21.67,-0.69
00:10:32,21.71,-0.61
00:10:33,21.71,-0.61
00:10:34,21.67,-0.65
00:10:35,21.67,-0.53
00:10:36,21.73,-0.53
00:10:37,21.67,-0.53
00:10:38,21.75,-0.65
00:10:39,21.71,-0.49
00:10:40,21.67,-0.49
00:10:42,21.67,-0.49
00:10:43,21.65,-0.49
00:10:44,21.67,-0.45
00:10:45,21.73,-0.33
00:10:46,21.73,-0.45
00:10:47,21.71,-0.53
00:10:48,21.73,-0.49
00:10:49,21.75,-0.57
00:10:50,21.71,-0.73
00:10:51,21.73,-0.73
00:10:52,21.67,-0.81
00:10:53,21.71,-0.85
00:10:54,21.67,-0.85
00:10:55,21.67,-0.77
00:10:56,21.71,-0.77
00:10:57,21.73,-0.77
00:10:58,21.73,-0.77
00:10:59,21.73,-0.57
00:11:00,21.71,-0.65
00:11:01,21.71,-0.77
00:11:02,21.71,-0.73
00:11:03,21.75,-0.57
00:11:04,21.71,-0.61
00:11:05,21.73,-0.53
00:11:06,21.73,-0.49
00:11:07,21.71,-0.65
00:11:08,21.75,-0.81
00:11:09,21.73,-0.89
00:11:11,21.73,-1.09
00:11:12,21.73,-1.13
00:11:13,21.73,-1.29
00:11:14,21.67,-1.25
00:11:15,21.71,-1.29
00:11:16,21.67,-1.21
00:11:17,21.71,-1.09
00:11:18,21.71,-1.13
00:11:19,21.67,-1.13
00:11:20,21.65,-0.97
00:11:21,21.71,-0.93
00:11:22,21.71,-0.97
00:11:23,21.67,-0.93
00:11:24,21.71,-0.85
00:11:25,21.73,-0.97
00:11:26,21.65,-0.89
00:11:27,21.67,-1.05
00:11:28,21.67,-1.17
00:11:29,21.71,-1.01
00:11:30,21.67,-1.05
00:11:31,21.67,-1.05
00:11:32,21.67,-1.21
00:11:33,21.67,-1.33
00:11:34,21.63,-1.29
00:11:35,21.65,-0.97
00:11:36,21.67,-0.93
00:11:37,21.67,-0.97
00:11:38,21.67,-1.01
00:11:40,21.67,-1.05
00:11:41,21.71,-1.01
00:11:42,21.65,-1.05
00:11:43,21.63,-1.29
00:11:44,21.67,-1.21
00:11:45,21.65,-1.21
00:11:46,21.65,-1.05
00:11:47,21.67,-0.89
00:11:48,21.65,-0.89
00:11:49,21.67,-0.81
00:11:50,21.65,-0.81
00:11:51,21.67,-0.89
00:11:52,21.65,-0.81
00:11:53,21.65,-0.77
00:11:54,21.71,-0.73
00:11:55,21.67,-0.81
00:11:56,21.71,-0.61
00:11:57,21.67,-0.65
00:11:58,21.67,-0.61
00:11:59,21.65,-0.81
00:12:00,21.71,-0.69
00:12:01,21.71,-0.65
00:12:02,21.65,-0.77
00:12:03,21.67,-0.61
00:12:04,21.65,-0.65
00:12:05,21.71,-0.61
00:12:06,21.71,-0.61
00:12:07,21.71,-0.61
00:12:09,21.67,-0.77
00:12:10,21.71,-0.73
00:12:11,21.63,-0.85
00:12:12,21.67,-0.85
00:12:13,21.67,-0.85
00:12:14,21.71,-0.93
00:12:15,21.67,-0.93
00:12:16,21.67,-1.01
00:12:17,21.71,-0.93
00:12:18,21.65,-0.89
00:12:19,21.65,-0.85
00:12:20,21.67,-0.81
00:12:21,21.67,-0.73
00:12:22,21.67,-0.81
00:12:23,21.71,-0.77
00:12:24,21.71,-0.65
00:12:25,21.67,-0.77
00:12:26,21.71,-0.73
00:12:27,21.71,-0.77
00:12:28,21.71,-0.77
00:12:29,21.67,-0.85
00:12:30,21.71,-1.01
00:12:31,21.71,-1.05
00:12:32,21.67,-1.21
00:12:33,21.65,-1.29
00:12:34,21.71,-1.09
00:12:35,21.73,-0.85
00:12:36,21.71,-0.93
00:12:38,21.65,-0.89
